product_id,EstimateScore,user_id,user
1916,5.0,52,quan012511
1931,5.0,52,quan012511
1932,5.0,52,quan012511
1933,5.0,52,quan012511
1945,5.0,52,quan012511
1946,5.0,52,quan012511
1947,5.0,52,quan012511
1948,5.0,52,quan012511
1961,5.0,52,quan012511
1962,5.0,52,quan012511
1975,5.0,52,quan012511
1976,5.0,52,quan012511
1977,5.0,52,quan012511
1978,5.0,52,quan012511
1991,5.0,52,quan012511
1992,5.0,52,quan012511
1993,5.0,52,quan012511
19105,5.0,52,quan012511
19106,5.0,52,quan012511
19108,5.0,52,quan012511
19120,5.0,52,quan012511
19121,5.0,52,quan012511
19122,5.0,52,quan012511
19123,5.0,52,quan012511
19138,5.0,52,quan012511
19152,5.0,52,quan012511
19153,5.0,52,quan012511
19165,5.0,52,quan012511
19166,5.0,52,quan012511
19167,5.0,52,quan012511
19168,5.0,52,quan012511
19181,5.0,52,quan012511
19182,5.0,52,quan012511
19198,5.0,52,quan012511
191170,5.0,52,quan012511
191171,5.0,52,quan012511
191172,5.0,52,quan012511
191186,5.0,52,quan012511
191188,5.0,52,quan012511
191203,5.0,52,quan012511
191216,5.0,52,quan012511
191233,5.0,52,quan012511
191245,5.0,52,quan012511
191246,5.0,52,quan012511
191247,5.0,52,quan012511
191260,5.0,52,quan012511
191261,5.0,52,quan012511
191275,5.0,52,quan012511
191276,5.0,52,quan012511
191277,5.0,52,quan012511
191278,5.0,52,quan012511
191485,5.0,52,quan012511
191486,5.0,52,quan012511
191487,5.0,52,quan012511
191488,5.0,52,quan012511
19210,5.0,52,quan012511
19211,5.0,52,quan012511
19212,5.0,52,quan012511
19213,5.0,52,quan012511
19225,5.0,52,quan012511
19226,5.0,52,quan012511
19227,5.0,52,quan012511
19228,5.0,52,quan012511
19243,5.0,52,quan012511
19256,5.0,52,quan012511
19271,5.0,52,quan012511
19272,5.0,52,quan012511
19273,5.0,52,quan012511
19285,5.0,52,quan012511
19288,5.0,52,quan012511
19300,5.0,52,quan012511
19301,5.0,52,quan012511
19302,5.0,52,quan012511
19315,5.0,52,quan012511
19316,5.0,52,quan012511
19317,5.0,52,quan012511
19318,5.0,52,quan012511
